source,target,date,year,month,day,hour,minute,second
73,74,2004-04-22 04:58:33,2004,4,22,4,58,33
74,73,2004-04-22 04:59:32,2004,4,22,4,59,32
34,58,2004-04-22 05:01:54,2004,4,22,5,1,54
44,75,2004-04-22 05:01:57,2004,4,22,5,1,57
44,75,2004-04-22 05:04:01,2004,4,22,5,4,1
9,58,2004-04-22 05:04:54,2004,4,22,5,4,54
73,74,2004-04-22 05:05:32,2004,4,22,5,5,32
9,76,2004-04-22 05:05:39,2004,4,22,5,5,39
32,77,2004-04-22 05:22:06,2004,4,22,5,22,6
41,76,2004-04-22 05:35:06,2004,4,22,5,35,6
41,78,2004-04-22 05:35:22,2004,4,22,5,35,22
79,48,2004-04-22 05:41:34,2004,4,22,5,41,34
79,63,2004-04-22 05:42:15,2004,4,22,5,42,15
41,80,2004-04-22 05:43:38,2004,4,22,5,43,38
79,58,2004-04-22 05:44:24,2004,4,22,5,44,24
41,81,2004-04-22 05:44:32,2004,4,22,5,44,32
79,70,2004-04-22 05:49:07,2004,4,22,5,49,7
19,82,2004-04-22 05:56:11,2004,4,22,5,56,11
19,72,2004-04-22 05:57:24,2004,4,22,5,57,24
12,32,2004-04-22 05:57:46,2004,4,22,5,57,46
19,64,2004-04-22 06:05:10,2004,4,22,6,5,10
19,58,2004-04-22 06:07:10,2004,4,22,6,7,10
19,58,2004-04-22 06:07:15,2004,4,22,6,7,15
19,58,2004-04-22 06:07:17,2004,4,22,6,7,17
19,52,2004-04-22 06:13:08,2004,4,22,6,13,8
83,59,2004-04-22 06:14:20,2004,4,22,6,14,20
51,70,2004-04-22 06:14:37,2004,4,22,6,14,37
38,58,2004-04-22 06:20:31,2004,4,22,6,20,31
41,58,2004-04-22 06:40:43,2004,4,22,6,40,43
63,79,2004-04-22 06:41:25,2004,4,22,6,41,25
41,63,2004-04-22 06:41:33,2004,4,22,6,41,33
67,59,2004-04-22 06:45:59,2004,4,22,6,45,59
41,63,2004-04-22 06:52:15,2004,4,22,6,52,15
41,58,2004-04-22 06:58:22,2004,4,22,6,58,22
44,84,2004-04-22 07:07:46,2004,4,22,7,7,46
19,85,2004-04-22 07:16:46,2004,4,22,7,16,46
19,72,2004-04-22 07:18:14,2004,4,22,7,18,14
3,84,2004-04-22 07:30:42,2004,4,22,7,30,42
19,8,2004-04-22 07:33:16,2004,4,22,7,33,16
19,58,2004-04-22 07:34:31,2004,4,22,7,34,31
84,86,2004-04-22 07:43:53,2004,4,22,7,43,53
83,58,2004-04-22 07:46:43,2004,4,22,7,46,43
36,60,2004-04-22 07:47:12,2004,4,22,7,47,12
86,48,2004-04-22 07:50:31,2004,4,22,7,50,31
87,63,2004-04-22 07:55:09,2004,4,22,7,55,9
36,88,2004-04-22 07:58:09,2004,4,22,7,58,9
87,8,2004-04-22 08:02:30,2004,4,22,8,2,30
36,89,2004-04-22 08:09:43,2004,4,22,8,9,43
90,56,2004-04-22 08:10:02,2004,4,22,8,10,2
36,90,2004-04-22 08:10:59,2004,4,22,8,10,59
36,84,2004-04-22 08:11:58,2004,4,22,8,11,58
91,92,2004-04-22 08:12:55,2004,4,22,8,12,55
36,93,2004-04-22 08:16:00,2004,4,22,8,16,0
91,92,2004-04-22 08:17:05,2004,4,22,8,17,5
36,90,2004-04-22 08:17:21,2004,4,22,8,17,21
91,92,2004-04-22 08:19:41,2004,4,22,8,19,41
36,60,2004-04-22 08:23:21,2004,4,22,8,23,21
36,84,2004-04-22 08:31:32,2004,4,22,8,31,32
51,58,2004-04-22 08:33:32,2004,4,22,8,33,32
94,84,2004-04-22 08:35:04,2004,4,22,8,35,4
36,84,2004-04-22 08:41:10,2004,4,22,8,41,10
94,84,2004-04-22 08:41:29,2004,4,22,8,41,29
94,84,2004-04-22 08:47:44,2004,4,22,8,47,44
69,84,2004-04-22 08:49:24,2004,4,22,8,49,24
69,95,2004-04-22 08:49:55,2004,4,22,8,49,55
87,8,2004-04-22 08:54:20,2004,4,22,8,54,20
3,84,2004-04-22 09:00:49,2004,4,22,9,0,49
3,84,2004-04-22 09:04:56,2004,4,22,9,4,56
48,86,2004-04-22 09:13:37,2004,4,22,9,13,37
84,8,2004-04-22 09:31:27,2004,4,22,9,31,27
91,81,2004-04-22 09:47:02,2004,4,22,9,47,2
96,88,2004-04-22 09:49:55,2004,4,22,9,49,55
8,84,2004-04-22 10:06:13,2004,4,22,10,6,13
84,8,2004-04-22 10:21:30,2004,4,22,10,21,30
91,47,2004-04-22 10:26:13,2004,4,22,10,26,13
97,98,2004-04-22 10:37:02,2004,4,22,10,37,2
98,97,2004-04-22 10:39:36,2004,4,22,10,39,36
97,98,2004-04-22 10:40:11,2004,4,22,10,40,11
48,97,2004-04-22 10:42:00,2004,4,22,10,42,0
99,8,2004-04-22 10:47:12,2004,4,22,10,47,12
99,8,2004-04-22 10:47:26,2004,4,22,10,47,26
97,48,2004-04-22 10:49:36,2004,4,22,10,49,36
100,101,2004-04-22 10:53:13,2004,4,22,10,53,13
102,97,2004-04-22 10:54:49,2004,4,22,10,54,49
97,48,2004-04-22 11:00:00,2004,4,22,11,0,0
97,102,2004-04-22 11:00:11,2004,4,22,11,0,11
101,100,2004-04-22 11:06:13,2004,4,22,11,6,13
48,58,2004-04-22 11:07:14,2004,4,22,11,7,14
97,48,2004-04-22 11:07:43,2004,4,22,11,7,43
103,72,2004-04-22 11:58:04,2004,4,22,11,58,4
103,58,2004-04-22 12:04:05,2004,4,22,12,4,5
104,59,2004-04-22 12:39:48,2004,4,22,12,39,48
104,59,2004-04-22 12:39:57,2004,4,22,12,39,57
103,72,2004-04-22 13:21:48,2004,4,22,13,21,48
105,56,2004-04-22 17:05:16,2004,4,22,17,5,16
106,72,2004-04-22 17:08:03,2004,4,22,17,8,3
105,61,2004-04-22 17:12:46,2004,4,22,17,12,46
105,8,2004-04-22 17:14:11,2004,4,22,17,14,11
105,33,2004-04-22 17:21:43,2004,4,22,17,21,43
105,107,2004-04-22 17:26:57,2004,4,22,17,26,57
105,81,2004-04-22 17:34:10,2004,4,22,17,34,10
44,102,2004-04-22 17:47:51,2004,4,22,17,47,51
36,105,2004-04-22 18:41:57,2004,4,22,18,41,57
36,104,2004-04-22 18:51:35,2004,4,22,18,51,35
34,108,2004-04-22 18:56:19,2004,4,22,18,56,19
34,109,2004-04-22 19:05:43,2004,4,22,19,5,43
36,110,2004-04-22 19:09:00,2004,4,22,19,9,0
111,112,2004-04-22 19:19:13,2004,4,22,19,19,13
34,58,2004-04-22 19:34:21,2004,4,22,19,34,21
36,113,2004-04-22 19:38:36,2004,4,22,19,38,36
36,109,2004-04-22 19:39:00,2004,4,22,19,39,0
79,109,2004-04-22 19:51:47,2004,4,22,19,51,47
114,105,2004-04-22 19:54:36,2004,4,22,19,54,36
101,115,2004-04-22 19:56:13,2004,4,22,19,56,13
56,90,2004-04-22 20:09:35,2004,4,22,20,9,35
56,105,2004-04-22 20:10:09,2004,4,22,20,10,9
56,68,2004-04-22 20:10:51,2004,4,22,20,10,51
29,58,2004-04-22 20:32:50,2004,4,22,20,32,50
87,58,2004-04-22 20:36:50,2004,4,22,20,36,50
44,116,2004-04-22 20:45:06,2004,4,22,20,45,6
44,117,2004-04-22 20:54:40,2004,4,22,20,54,40
44,117,2004-04-22 20:55:12,2004,4,22,20,55,12
44,79,2004-04-22 21:03:59,2004,4,22,21,3,59
80,58,2004-04-22 21:10:59,2004,4,22,21,10,59
96,32,2004-04-22 21:30:30,2004,4,22,21,30,30
118,100,2004-04-22 21:45:52,2004,4,22,21,45,52
119,120,2004-04-22 21:51:28,2004,4,22,21,51,28
119,120,2004-04-22 21:51:44,2004,4,22,21,51,44
120,119,2004-04-22 21:52:55,2004,4,22,21,52,55
120,75,2004-04-22 21:54:10,2004,4,22,21,54,10
119,120,2004-04-22 21:55:49,2004,4,22,21,55,49
120,119,2004-04-22 21:56:12,2004,4,22,21,56,12
119,58,2004-04-22 21:57:28,2004,4,22,21,57,28
74,73,2004-04-22 22:03:21,2004,4,22,22,3,21
118,120,2004-04-22 22:13:16,2004,4,22,22,13,16
121,108,2004-04-22 22:21:26,2004,4,22,22,21,26
72,106,2004-04-22 22:25:10,2004,4,22,22,25,10
44,92,2004-04-22 22:38:51,2004,4,22,22,38,51
26,122,2004-04-22 22:45:46,2004,4,22,22,45,46
44,79,2004-04-22 23:10:28,2004,4,22,23,10,28
1,123,2004-04-22 23:23:42,2004,4,22,23,23,42
96,124,2004-04-22 23:44:06,2004,4,22,23,44,6
125,126,2004-04-22 23:45:32,2004,4,22,23,45,32
36,104,2004-04-23 00:04:24,2004,4,23,0,4,24
44,79,2004-04-23 00:30:18,2004,4,23,0,30,18
44,79,2004-04-23 00:41:00,2004,4,23,0,41,0
36,124,2004-04-23 00:43:18,2004,4,23,0,43,18
36,127,2004-04-23 00:53:48,2004,4,23,0,53,48
36,128,2004-04-23 00:54:39,2004,4,23,0,54,39
44,79,2004-04-23 00:58:32,2004,4,23,0,58,32
44,129,2004-04-23 01:00:26,2004,4,23,1,0,26
44,116,2004-04-23 01:03:09,2004,4,23,1,3,9
9,120,2004-04-23 01:05:32,2004,4,23,1,5,32
79,58,2004-04-23 01:12:11,2004,4,23,1,12,11
36,109,2004-04-23 01:30:46,2004,4,23,1,30,46
124,109,2004-04-23 01:32:54,2004,4,23,1,32,54
36,109,2004-04-23 01:35:46,2004,4,23,1,35,46
124,61,2004-04-23 01:37:02,2004,4,23,1,37,2
124,72,2004-04-23 01:40:24,2004,4,23,1,40,24
36,109,2004-04-23 01:48:47,2004,4,23,1,48,47
36,112,2004-04-23 01:54:28,2004,4,23,1,54,28
124,85,2004-04-23 01:58:31,2004,4,23,1,58,31
85,124,2004-04-23 02:00:25,2004,4,23,2,0,25
32,130,2004-04-23 02:01:31,2004,4,23,2,1,31
36,112,2004-04-23 02:02:05,2004,4,23,2,2,5
124,85,2004-04-23 02:02:48,2004,4,23,2,2,48
72,124,2004-04-23 02:17:36,2004,4,23,2,17,36
124,8,2004-04-23 02:21:53,2004,4,23,2,21,53
131,30,2004-04-23 02:27:21,2004,4,23,2,27,21
99,126,2004-04-23 02:40:25,2004,4,23,2,40,25
103,72,2004-04-23 02:46:44,2004,4,23,2,46,44
103,72,2004-04-23 02:52:45,2004,4,23,2,52,45
103,63,2004-04-23 02:57:22,2004,4,23,2,57,22
103,117,2004-04-23 02:58:59,2004,4,23,2,58,59
103,72,2004-04-23 03:05:23,2004,4,23,3,5,23
131,30,2004-04-23 03:38:16,2004,4,23,3,38,16
69,95,2004-04-23 03:49:46,2004,4,23,3,49,46
69,124,2004-04-23 03:50:04,2004,4,23,3,50,4
69,79,2004-04-23 03:50:15,2004,4,23,3,50,15
132,30,2004-04-23 03:50:34,2004,4,23,3,50,34
36,99,2004-04-23 03:56:07,2004,4,23,3,56,7
36,133,2004-04-23 03:56:52,2004,4,23,3,56,52
36,60,2004-04-23 03:57:34,2004,4,23,3,57,34
36,134,2004-04-23 04:00:56,2004,4,23,4,0,56
36,133,2004-04-23 04:02:09,2004,4,23,4,2,9
36,81,2004-04-23 04:04:42,2004,4,23,4,4,42
103,72,2004-04-23 04:09:19,2004,4,23,4,9,19
103,135,2004-04-23 04:13:00,2004,4,23,4,13,0
133,135,2004-04-23 04:14:24,2004,4,23,4,14,24
135,133,2004-04-23 04:15:05,2004,4,23,4,15,5
36,133,2004-04-23 04:15:15,2004,4,23,4,15,15
103,135,2004-04-23 04:15:27,2004,4,23,4,15,27
19,52,2004-04-23 04:19:10,2004,4,23,4,19,10
133,135,2004-04-23 04:19:18,2004,4,23,4,19,18
103,135,2004-04-23 04:20:26,2004,4,23,4,20,26
103,135,2004-04-23 04:21:14,2004,4,23,4,21,14
135,133,2004-04-23 04:21:20,2004,4,23,4,21,20
133,135,2004-04-23 04:22:24,2004,4,23,4,22,24
36,133,2004-04-23 04:22:38,2004,4,23,4,22,38
36,133,2004-04-23 04:30:12,2004,4,23,4,30,12
36,133,2004-04-23 04:43:29,2004,4,23,4,43,29
9,109,2004-04-23 05:17:52,2004,4,23,5,17,52
9,109,2004-04-23 05:34:26,2004,4,23,5,34,26
62,136,2004-04-23 05:51:04,2004,4,23,5,51,4
96,32,2004-04-23 06:00:12,2004,4,23,6,0,12
137,138,2004-04-23 06:17:37,2004,4,23,6,17,37
96,137,2004-04-23 06:20:56,2004,4,23,6,20,56
19,120,2004-04-23 06:24:19,2004,4,23,6,24,19
44,90,2004-04-23 06:24:30,2004,4,23,6,24,30
96,137,2004-04-23 06:24:44,2004,4,23,6,24,44
137,138,2004-04-23 06:24:53,2004,4,23,6,24,53
19,139,2004-04-23 06:31:43,2004,4,23,6,31,43
44,60,2004-04-23 06:40:54,2004,4,23,6,40,54
44,88,2004-04-23 06:42:26,2004,4,23,6,42,26
44,102,2004-04-23 06:43:37,2004,4,23,6,43,37
44,90,2004-04-23 06:44:30,2004,4,23,6,44,30
19,111,2004-04-23 06:44:39,2004,4,23,6,44,39
44,90,2004-04-23 06:48:05,2004,4,23,6,48,5
9,32,2004-04-23 06:48:29,2004,4,23,6,48,29
44,90,2004-04-23 06:50:58,2004,4,23,6,50,58
44,90,2004-04-23 06:53:49,2004,4,23,6,53,49
103,63,2004-04-23 06:57:22,2004,4,23,6,57,22
103,72,2004-04-23 06:58:09,2004,4,23,6,58,9
38,86,2004-04-23 06:59:00,2004,4,23,6,59,0
140,105,2004-04-23 06:59:37,2004,4,23,6,59,37
103,72,2004-04-23 07:07:47,2004,4,23,7,7,47
38,86,2004-04-23 07:16:00,2004,4,23,7,16,0
38,101,2004-04-23 07:19:26,2004,4,23,7,19,26
38,101,2004-04-23 07:32:01,2004,4,23,7,32,1
38,101,2004-04-23 07:32:43,2004,4,23,7,32,43
103,101,2004-04-23 07:34:18,2004,4,23,7,34,18
38,101,2004-04-23 07:36:08,2004,4,23,7,36,8
103,101,2004-04-23 07:36:15,2004,4,23,7,36,15
38,61,2004-04-23 07:52:13,2004,4,23,7,52,13
75,120,2004-04-23 07:52:17,2004,4,23,7,52,17
38,81,2004-04-23 07:54:04,2004,4,23,7,54,4
44,141,2004-04-23 07:56:26,2004,4,23,7,56,26
44,141,2004-04-23 07:58:02,2004,4,23,7,58,2
44,74,2004-04-23 08:05:57,2004,4,23,8,5,57
44,127,2004-04-23 08:08:04,2004,4,23,8,8,4
124,135,2004-04-23 08:44:07,2004,4,23,8,44,7
140,124,2004-04-23 08:50:12,2004,4,23,8,50,12
19,82,2004-04-23 08:51:44,2004,4,23,8,51,44
19,82,2004-04-23 08:56:39,2004,4,23,8,56,39
19,82,2004-04-23 08:58:43,2004,4,23,8,58,43
105,56,2004-04-23 09:02:06,2004,4,23,9,2,6
19,82,2004-04-23 09:03:04,2004,4,23,9,3,4
124,135,2004-04-23 09:04:11,2004,4,23,9,4,11
105,58,2004-04-23 09:05:15,2004,4,23,9,5,15
105,63,2004-04-23 09:05:29,2004,4,23,9,5,29
19,82,2004-04-23 09:05:32,2004,4,23,9,5,32
105,61,2004-04-23 09:06:51,2004,4,23,9,6,51
105,135,2004-04-23 09:09:55,2004,4,23,9,9,55
124,135,2004-04-23 09:15:13,2004,4,23,9,15,13
71,72,2004-04-23 09:30:14,2004,4,23,9,30,14
135,124,2004-04-23 09:34:06,2004,4,23,9,34,6
9,32,2004-04-23 09:36:21,2004,4,23,9,36,21
63,105,2004-04-23 09:36:47,2004,4,23,9,36,47
72,71,2004-04-23 09:40:42,2004,4,23,9,40,42
142,58,2004-04-23 09:42:24,2004,4,23,9,42,24
124,135,2004-04-23 09:43:50,2004,4,23,9,43,50
124,135,2004-04-23 09:46:59,2004,4,23,9,46,59
143,32,2004-04-23 09:49:32,2004,4,23,9,49,32
144,99,2004-04-23 09:54:41,2004,4,23,9,54,41
144,105,2004-04-23 09:57:02,2004,4,23,9,57,2
144,121,2004-04-23 09:59:16,2004,4,23,9,59,16
9,109,2004-04-23 10:01:00,2004,4,23,10,1,0
103,109,2004-04-23 10:21:23,2004,4,23,10,21,23
103,63,2004-04-23 10:24:25,2004,4,23,10,24,25
103,63,2004-04-23 10:36:16,2004,4,23,10,36,16
103,109,2004-04-23 10:38:34,2004,4,23,10,38,34
48,81,2004-04-23 10:38:37,2004,4,23,10,38,37
95,81,2004-04-23 10:41:39,2004,4,23,10,41,39
145,48,2004-04-23 10:42:21,2004,4,23,10,42,21
95,63,2004-04-23 10:42:31,2004,4,23,10,42,31
145,95,2004-04-23 10:44:41,2004,4,23,10,44,41
95,109,2004-04-23 10:44:45,2004,4,23,10,44,45
145,95,2004-04-23 10:46:53,2004,4,23,10,46,53
145,48,2004-04-23 10:49:09,2004,4,23,10,49,9
145,95,2004-04-23 10:51:51,2004,4,23,10,51,51
145,48,2004-04-23 10:55:14,2004,4,23,10,55,14
145,48,2004-04-23 10:57:36,2004,4,23,10,57,36
95,109,2004-04-23 10:58:47,2004,4,23,10,58,47
96,48,2004-04-23 11:02:19,2004,4,23,11,2,19
95,109,2004-04-23 11:04:32,2004,4,23,11,4,32
96,95,2004-04-23 11:09:00,2004,4,23,11,9,0
96,95,2004-04-23 11:11:48,2004,4,23,11,11,48
96,48,2004-04-23 11:12:38,2004,4,23,11,12,38
96,95,2004-04-23 11:15:27,2004,4,23,11,15,27
105,144,2004-04-23 11:35:54,2004,4,23,11,35,54
105,63,2004-04-23 11:36:08,2004,4,23,11,36,8
6,146,2004-04-23 11:50:36,2004,4,23,11,50,36
44,60,2004-04-23 17:33:23,2004,4,23,17,33,23
44,105,2004-04-23 17:34:05,2004,4,23,17,34,5
63,95,2004-04-23 17:41:08,2004,4,23,17,41,8
44,32,2004-04-23 18:15:10,2004,4,23,18,15,10
114,105,2004-04-23 18:38:01,2004,4,23,18,38,1
34,109,2004-04-23 18:40:59,2004,4,23,18,40,59
36,105,2004-04-23 18:43:35,2004,4,23,18,43,35
36,109,2004-04-23 18:44:53,2004,4,23,18,44,53
36,147,2004-04-23 18:53:05,2004,4,23,18,53,5
44,32,2004-04-23 19:03:13,2004,4,23,19,3,13
19,120,2004-04-23 19:19:19,2004,4,23,19,19,19
9,136,2004-04-23 19:37:31,2004,4,23,19,37,31
9,148,2004-04-23 19:37:51,2004,4,23,19,37,51
9,149,2004-04-23 19:38:49,2004,4,23,19,38,49
9,150,2004-04-23 19:39:36,2004,4,23,19,39,36
9,151,2004-04-23 19:41:02,2004,4,23,19,41,2
9,152,2004-04-23 19:42:34,2004,4,23,19,42,34
9,153,2004-04-23 19:42:54,2004,4,23,19,42,54
9,58,2004-04-23 19:43:11,2004,4,23,19,43,11
9,58,2004-04-23 19:43:20,2004,4,23,19,43,20
9,135,2004-04-23 19:43:43,2004,4,23,19,43,43
9,22,2004-04-23 19:44:04,2004,4,23,19,44,4
9,8,2004-04-23 19:45:42,2004,4,23,19,45,42
9,154,2004-04-23 19:47:17,2004,4,23,19,47,17
9,121,2004-04-23 19:49:17,2004,4,23,19,49,17
1,135,2004-04-23 19:59:53,2004,4,23,19,59,53
3,155,2004-04-23 20:03:57,2004,4,23,20,3,57
36,109,2004-04-23 20:06:10,2004,4,23,20,6,10
3,155,2004-04-23 20:07:10,2004,4,23,20,7,10
30,132,2004-04-23 20:14:44,2004,4,23,20,14,44
3,58,2004-04-23 20:23:21,2004,4,23,20,23,21
68,56,2004-04-23 20:52:45,2004,4,23,20,52,45
36,156,2004-04-23 21:44:30,2004,4,23,21,44,30
131,30,2004-04-23 21:58:54,2004,4,23,21,58,54
101,51,2004-04-23 22:15:16,2004,4,23,22,15,16
101,34,2004-04-23 22:19:05,2004,4,23,22,19,5
9,8,2004-04-23 22:22:48,2004,4,23,22,22,48
36,73,2004-04-23 22:40:11,2004,4,23,22,40,11
96,95,2004-04-23 22:51:21,2004,4,23,22,51,21
9,76,2004-04-23 23:10:26,2004,4,23,23,10,26
9,8,2004-04-23 23:14:15,2004,4,23,23,14,15
9,157,2004-04-23 23:28:18,2004,4,23,23,28,18
19,158,2004-04-23 23:38:40,2004,4,23,23,38,40
9,58,2004-04-23 23:41:14,2004,4,23,23,41,14
9,32,2004-04-23 23:46:46,2004,4,23,23,46,46
44,129,2004-04-24 00:57:38,2004,4,24,0,57,38
105,135,2004-04-24 00:57:59,2004,4,24,0,57,59
105,129,2004-04-24 00:59:15,2004,4,24,0,59,15
44,129,2004-04-24 01:02:03,2004,4,24,1,2,3
44,129,2004-04-24 01:02:56,2004,4,24,1,2,56
44,129,2004-04-24 01:03:36,2004,4,24,1,3,36
51,101,2004-04-24 01:05:29,2004,4,24,1,5,29
1,159,2004-04-24 01:06:05,2004,4,24,1,6,5
44,74,2004-04-24 01:31:02,2004,4,24,1,31,2
44,129,2004-04-24 01:33:56,2004,4,24,1,33,56
160,72,2004-04-24 02:08:19,2004,4,24,2,8,19
129,8,2004-04-24 02:22:28,2004,4,24,2,22,28
36,147,2004-04-24 02:27:22,2004,4,24,2,27,22
36,109,2004-04-24 02:28:31,2004,4,24,2,28,31
36,105,2004-04-24 02:29:58,2004,4,24,2,29,58
36,129,2004-04-24 02:30:29,2004,4,24,2,30,29
9,8,2004-04-24 02:31:04,2004,4,24,2,31,4
34,101,2004-04-24 03:33:40,2004,4,24,3,33,40
161,162,2004-04-24 03:52:14,2004,4,24,3,52,14
163,72,2004-04-24 04:15:26,2004,4,24,4,15,26
32,164,2004-04-24 04:31:45,2004,4,24,4,31,45
58,8,2004-04-24 04:44:12,2004,4,24,4,44,12
32,58,2004-04-24 04:47:03,2004,4,24,4,47,3
41,76,2004-04-24 04:52:44,2004,4,24,4,52,44
41,120,2004-04-24 04:53:56,2004,4,24,4,53,56
41,132,2004-04-24 04:54:32,2004,4,24,4,54,32
